Lat,Lon,Cls,country_code,state,Alt,Alt_zone
13.94914,-173.0099,Am,US,Hawaii,0.0,1
13.379702,-174.06235,Am,US,Hawaii,0.0,1
14.139768,-172.65456,Am,US,Hawaii,0.0,1
13.462639,-168.41522,As,US,Hawaii,0.0,1
13.547532,-163.93529,As,US,Hawaii,0.0,1
14.173282,-173.34535,Am,US,Hawaii,0.0,1
13.700411,-168.76404,As,US,Hawaii,0.0,1
14.828816,-169.78178,As,US,Hawaii,0.0,1
14.23021,-164.25711,As,US,Hawaii,0.0,1
13.223612,-175.0803,Am,US,Hawaii,0.0,1
15.610955,-172.93593,Am,US,Hawaii,0.0,1
14.069273,-175.72014,Am,US,Hawaii,0.0,1
13.632958,-175.06624,Am,US,Hawaii,0.0,1
13.414914,-170.93535,As,US,Hawaii,0.0,1
15.63679,-173.62868,Am,US,Hawaii,0.0,1
12.779708,-174.42398,Am,US,Hawaii,0.0,1
14.644241,-174.6934,Am,US,Hawaii,0.0,1
14.551634,-168.7093,As,US,Hawaii,0.0,1
14.215256,-170.1777,As,US,Hawaii,0.0,1
15.271597,-175.00946,Am,US,Hawaii,0.0,1
13.362734,-164.33064,As,US,Hawaii,0.0,1
13.671718,-165.43724,As,US,Hawaii,0.0,1
13.32401,-169.51138,As,US,Hawaii,0.0,1
14.405506,-169.80695,As,US,Hawaii,0.0,1
13.118835,-173.04645,Am,US,Hawaii,0.0,1
15.831443,-173.27412,Am,US,Hawaii,0.0,1
13.254383,-175.7456,Am,US,Hawaii,0.0,1
13.1779,-164.72417,As,US,Hawaii,0.0,1
16.221647,-172.55809,Am,US,Hawaii,0.0,1
13.41071,-167.68654,As,US,Hawaii,0.0,1
13.610938,-164.68834,As,US,Hawaii,0.0,1
15.054971,-174.67847,Am,US,Hawaii,0.0,1
13.602085,-174.39317,Am,US,Hawaii,0.0,1
12.850379,-172.019,As,US,Hawaii,0.0,1
13.035146,-175.42043,Am,US,Hawaii,0.0,1
13.370643,-170.22615,As,US,Hawaii,0.0,1
12.648363,-161.3347,Af,US,Hawaii,0.0,1
14.233576,-174.70828,Am,US,Hawaii,0.0,1
15.195459,-172.95453,Am,US,Hawaii,0.0,1
12.793844,-162.85805,Af,US,Hawaii,0.0,1
12.703987,-173.06462,As,US,Hawaii,0.0,1
12.9831295,-167.71597,As,US,Hawaii,0.0,1
14.10395,-171.95769,As,US,Hawaii,0.0,1
13.155879,-173.73062,Am,US,Hawaii,0.0,1
13.239905,-165.4715,As,US,Hawaii,0.0,1
14.535649,-165.36833,As,US,Hawaii,0.0,1
13.169642,-167.33545,As,US,Hawaii,0.0,1
12.96755,-174.07843,Am,US,Hawaii,0.0,1
13.685924,-171.9782,As,US,Hawaii,0.0,1
13.851854,-175.39368,Am,US,Hawaii,0.0,1
12.948586,-170.25023,As,US,Hawaii,0.0,1
13.079621,-172.3562,As,US,Hawaii,0.0,1
14.452112,-175.03796,Am,US,Hawaii,0.0,1
13.485521,-165.82683,As,US,Hawaii,0.0,1
12.806965,-171.32059,As,US,Hawaii,0.0,1
14.294662,-171.59636,As,US,Hawaii,0.0,1
14.4251375,-174.36214,Am,US,Hawaii,0.0,1
12.796787,-168.09448,As,US,Hawaii,0.0,1
14.637719,-170.15334,As,US,Hawaii,0.0,1
14.125977,-168.73672,As,US,Hawaii,0.0,1
15.002322,-173.30988,Am,US,Hawaii,0.0,1
14.595956,-169.43404,As,US,Hawaii,0.0,1
15.358509,-171.89565,As,US,Hawaii,0.0,1
15.582681,-172.23698,Am,US,Hawaii,0.0,1
13.982263,-169.83203,As,US,Hawaii,0.0,1
12.993066,-165.11583,As,US,Hawaii,0.0,1
13.569079,-173.7138,Am,US,Hawaii,0.0,1
13.835477,-170.91267,As,US,Hawaii,0.0,1
14.476923,-175.70734,Am,US,Hawaii,0.0,1
16.026405,-172.91727,Am,US,Hawaii,0.0,1
13.190791,-174.40862,Am,US,Hawaii,0.0,1
14.042473,-175.05214,Am,US,Hawaii,0.0,1
14.361669,-169.08568,As,US,Hawaii,0.0,1
15.132819,-171.55353,As,US,Hawaii,0.0,1
13.5339,-173.02821,Am,US,Hawaii,0.0,1
12.930635,-173.39804,Am,US,Hawaii,0.0,1
13.226385,-171.29877,As,US,Hawaii,0.0,1
13.85792,-165.04575,As,US,Hawaii,0.0,1
13.443407,-175.40707,Am,US,Hawaii,0.0,1
44.31736,-72.77723,Dfb,US,Vermont,280.0,3
35.667835,-75.40655,Cfa,US,North Carolina,0.0,1
38.313877,-76.78891,Cfa,US,Maryland,51.0,2
39.50288,-75.78009,Cfa,US,Delaware,19.0,1
39.15571,-77.58382,Cfa,US,Virginia,170.0,3
41.330727,-77.947624,Dfb,US,Pennsylvania,548.0,4
40.76206,-71.788284,Cfa,US,New York,0.0,1
35.533226,-70.5137,Cfa,US,North Carolina,0.0,1
34.344162,-71.101456,Cfa,US,North Carolina,0.0,1
41.017967,-85.44852,Dfa,US,Indiana,260.0,3
31.293621,-74.436714,Cfa,US,North Carolina,0.0,1
42.463017,-71.23249,Dfa,US,Massachusetts,67.0,2
36.14454,-79.64405,Cfa,US,North Carolina,199.0,3
42.02458,-74.14665,Dfb,US,New York,315.0,3
38.72574,-70.8019,Cfa,US,Rhode Island,0.0,1
42.572506,-73.2983,Dfb,US,Massachusetts,383.0,3
35.6999,-77.20618,Cfa,US,North Carolina,10.0,1
37.844425,-76.15013,Cfa,US,Virginia,0.0,1
46.851852,-67.43979,Dfb,US,Maine,168.0,3
44.948677,-67.63791,Dfb,US,Maine,81.0,2
46.069614,-68.927666,Dfb,US,Maine,677.0,4
37.847378,-71.51455,Cfa,US,New York,0.0,1
39.985344,-76.43785,Cfa,US,Pennsylvania,117.0,3
35.46324,-74.452705,Cfa,US,North Carolina,0.0,1
36.866974,-78.10611,Cfa,US,Virginia,115.0,3
39.176617,-67.16132,Cfa,US,Massachusetts,0.0,1
38.137684,-66.09021,Cfa,US,Massachusetts,0.0,1
36.820328,-81.789894,Cfb,US,Virginia,708.0,4
37.856697,-79.91581,Cfa,US,Virginia,897.0,4
44.795082,-67.085205,Dfb,US,Maine,41.0,2
32.72233,-71.1356,Cfa,US,North Carolina,0.0,1
36.616398,-69.42461,Cfa,US,Massachusetts,0.0,1
30.671883,-73.04574,Cfa,US,North Carolina,0.0,1
38.957863,-76.54827,Cfa,US,Maryland,14.0,1
41.952496,-81.81333,Dfa,US,Ohio,172.0,3
41.80462,-71.56623,Cfb,US,Rhode Island,120.0,3
43.515472,-72.5439,Dfb,US,Vermont,398.0,3
42.488678,-78.422356,Dfb,US,New York,580.0,4
41.634132,-74.02303,Dfa,US,New York,278.0,3
42.57686,-76.901764,Dfb,US,New York,135.0,3
31.795141,-72.544556,Cfa,US,North Carolina,0.0,1
37.099945,-81.45515,Cfb,US,Virginia,891.0,4
34.81103,-71.64544,Cfa,US,North Carolina,0.0,1
35.859608,-73.24095,Cfa,US,North Carolina,0.0,1
42.39068,-77.863625,Dfb,US,New York,649.0,4
39.916794,-84.82675,Dfa,US,Ohio,330.0,3
37.06655,-67.28044,Cfa,US,Massachusetts,0.0,1
39.861,-69.64263,Cfa,US,Massachusetts,0.0,1
39.052567,-83.372574,Cfa,US,Ohio,255.0,3
31.763893,-73.762054,Cfa,US,North Carolina,0.0,1
38.419712,-67.042206,Cfa,US,Massachusetts,0.0,1
41.786808,-73.06468,Dfb,US,Connecticut,260.0,3
38.68891,-73.60825,Cfa,US,New Jersey,0.0,1
37.09011,-72.68715,Cfa,US,Maryland,0.0,1
32.099262,-73.86079,Cfa,US,North Carolina,0.0,1
41.715195,-78.10326,Dfb,US,Pennsylvania,680.0,4
39.121956,-83.8996,Cfa,US,Ohio,297.0,3
38.042694,-77.160126,Cfa,US,Virginia,63.0,2
35.057213,-75.64569,Cfa,US,North Carolina,0.0,1
37.763935,-66.03999,Cfa,US,Massachusetts,0.0,1
38.17936,-81.967514,Cfa,US,West Virginia,283.0,3
35.41142,-75.76528,Cfa,US,North Carolina,0.0,1
39.98446,-80.37566,Cfa,US,Pennsylvania,409.0,3
