,Lat,Lon,Cls,species,country_code,state,Alt,Alt_zone,presence
0,25.634735107421875,-80.34037017822266,Am,41301,US,Florida,6.0,1,1
1,37.76939010620117,-122.4775161743164,Csb,41301,US,California,90.0,2,1
2,30.48716163635254,-98.510986328125,Cfa,41301,US,Texas,356.0,3,1
3,31.403215408325195,-111.24222564697266,BSk,41301,US,Arizona,1090.0,5,1
4,29.76175880432129,-95.39810180664062,Cfa,41301,US,Texas,7.0,1,1
5,29.64419746398925,-82.36256408691406,Cfa,41301,US,Florida,25.0,2,1
6,30.51862907409668,-84.24967193603516,Cfa,41301,US,Florida,50.0,2,1
7,38.564266204833984,-121.6254653930664,Csa,41301,US,California,2.0,1,1
8,28.57036018371582,-80.99615478515625,Cfa,41301,US,Florida,7.0,1,1
9,25.69293975830078,-80.43341827392578,Am,41301,US,Florida,10.0,1,1
10,25.69294166564941,-80.43341064453125,Am,41301,US,Florida,10.0,1,1
11,36.49904251098633,-121.2024917602539,Csb,41301,US,California,420.0,3,1
12,34.17913055419922,-119.03955841064452,Csb,41301,US,California,33.0,2,1
13,33.83401870727539,-79.0477066040039,Cfa,41301,US,South Carolina,3.0,1,1
14,29.43475341796875,-99.68434143066406,Cfa,41301,US,Texas,393.0,3,1
15,30.46767807006836,-101.80077362060548,BSh,41301,US,Texas,612.0,4,1
16,29.779861450195312,-95.62380981445312,Cfa,41301,US,Texas,25.0,2,1
17,29.665834426879883,-82.32608795166016,Cfa,41301,US,Florida,44.0,2,1
18,29.67922019958496,-82.39167785644531,Cfa,41301,US,Florida,38.0,2,1
19,38.10069274902344,-122.86377716064452,Csb,41301,US,California,35.0,2,1
20,29.66205596923828,-82.33494567871094,Cfa,41301,US,Florida,39.0,2,1
21,28.9140739440918,-95.57836151123048,Cfa,41301,US,Texas,5.0,1,1
22,30.504627227783203,-97.81497955322266,Cfa,41301,US,Texas,277.0,3,1
23,28.57036018371582,-80.99615478515625,Cfa,41301,US,Florida,7.0,1,1
24,32.67472076416016,-116.92082977294922,Csa,41301,US,California,187.0,3,1
25,40.8869743347168,-124.07404327392578,Csb,41301,US,California,80.0,2,1
26,29.894758224487305,-95.44921875,Cfa,41301,US,Texas,27.0,2,1
27,28.52652740478516,-81.35852813720703,Cfa,41301,US,Florida,34.0,2,1
28,29.6442928314209,-82.363525390625,Cfa,41301,US,Florida,25.0,2,1
29,36.72496032714844,-114.71636199951172,BWk,41301,US,Nevada,540.0,4,1
30,29.66163825988769,-82.3521957397461,Cfa,41301,US,Florida,31.0,2,1
31,38.5416374206543,-121.49120330810548,Csa,41301,US,California,10.0,1,1
32,32.28444290161133,-110.9440460205078,BSh,41301,US,Arizona,712.0,4,1
33,29.46223831176757,-98.47167205810548,Cfa,41301,US,Texas,210.0,3,1
34,29.58057975769043,-82.60658264160156,Cfa,41301,US,Florida,24.0,1,1
35,29.679519653320312,-82.39195251464844,Cfa,41301,US,Florida,38.0,2,1
36,37.76947784423828,-122.47754669189452,Csb,41301,US,California,90.0,2,1
37,29.76185417175293,-95.39813232421876,Cfa,41301,US,Texas,7.0,1,1
38,29.664382934570312,-82.3329849243164,Cfa,41301,US,Florida,41.0,2,1
39,29.463058471679688,-98.47355651855467,Cfa,41301,US,Texas,224.0,3,1
40,38.42445373535156,-121.68421936035156,Csa,41301,US,California,5.0,1,1
41,29.687042236328125,-98.35253143310548,Cfa,41301,US,Texas,318.0,3,1
42,29.732498168945312,-82.22173309326172,Cfa,41301,US,Florida,40.0,2,1
43,31.62062263488769,-94.6462860107422,Cfa,41301,US,Texas,99.0,2,1
44,30.475215911865234,-97.62501525878906,Cfa,41301,US,Texas,235.0,3,1
45,30.239288330078125,-97.72858428955078,Cfa,41301,US,Texas,163.0,3,1
46,38.42614364624024,-122.8213882446289,Csb,41301,US,California,22.0,1,1
47,25.637584686279297,-80.5389633178711,Aw,41301,US,Florida,7.0,1,1
48,38.52709197998047,-121.68558502197266,Csa,41301,US,California,6.0,1,1
49,26.20201301574707,-98.32810974121094,BSh,41301,US,Texas,38.0,2,1
50,38.56331253051758,-121.63811492919922,Csa,41301,US,California,7.0,1,1
51,37.76788711547852,-122.47296142578124,Csb,41301,US,California,97.0,2,1
52,29.584659576416016,-102.89922332763672,BWh,41301,US,Texas,630.0,4,1
53,37.7686653137207,-122.47747802734376,Csb,41301,US,California,95.0,2,1
54,32.8311653137207,-117.2942886352539,BSk,41301,US,California,0.0,1,1
55,30.410642623901367,-91.17679595947266,Cfa,41301,US,Louisiana,16.0,1,1
56,32.84967041015625,-116.99649047851562,Csa,41301,US,California,113.0,3,1
57,29.687349319458008,-98.35266876220705,Cfa,41301,US,Texas,318.0,3,1
58,30.590532302856445,-97.77933502197266,Cfa,41301,US,Texas,298.0,3,1
59,38.5622673034668,-121.62194061279295,Csa,41301,US,California,4.0,1,1
60,34.636234283447266,-112.04618072509766,BSk,41301,US,Arizona,1478.0,5,1
61,29.644132614135746,-82.3627700805664,Cfa,41301,US,Florida,25.0,2,1
62,32.37220001220703,-110.69236755371094,BSh,41301,US,Arizona,1811.0,6,1
63,44.05318832397461,-123.06355285644533,Csb,41301,US,Oregon,132.0,3,1
64,35.777183532714844,-114.44422149658205,BWk,41301,US,Arizona,773.0,4,1
65,37.7678108215332,-122.4762725830078,Csb,41301,US,California,100.0,3,1
66,29.68739318847656,-98.35314178466795,Cfa,41301,US,Texas,318.0,3,1
67,29.66399955749512,-82.33499908447266,Cfa,41301,US,Florida,40.0,2,1
68,29.68732070922852,-98.35256958007812,Cfa,41301,US,Texas,318.0,3,1
